,OPRT
% Above Low,0.3995
% Held by Institutions,0.6890999999999999
52-Wk Range,['4.03 - 23.31']
Annual Dividend $,
Annual Dividend %,
Ask,5.65
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,
Bid,5.55
Bid Size,300.0
Closing Price,5.64
Day Change $,-0.46
Day Change %,-0.0754
Day High,6.13
Day Low,5.59
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.62
Ex-dividend Date,No dividend
Historical Volatility,0.775
Last (size),50.0
Last (time),3:59p ET 11/28/22
Market Cap,187.2M
"P/E Ratio (TTM, GAAP)",
Prev Close,6.1
Shares Outstanding,33.2M
Short Interest,0.060700000000000004
Today's Open,6.07
Volume,120942.0
Volume 10-day Avg,268910.0
Volume Past Day,(Light)
