,ASND
Price/Earnings (TTM),
Price/Sales (TTM),191.7255
Price/Book (MRQ),14.08585
Price/Cash Flow (TTM),
5yr Low,35.31
5yr High,183.98
5yr Avg Return,0.29396666666666665
EPS Growth 5yr,
Revenue Growth 5yr,0.11047499999999999
Dividend Growth 5yr,
Short Int Current Month,9761334.0
Short Int Prev Month,10235464.0
Short Int Pct of Float,0.171674
Days to Cover,14.30765
Float,6.0
Shares Outstanding,57.02724
Institutions Holding Shares,234.0
% Held by Institutions,1.13934
FCF Growth 5yr,0.21488334032677192
