,CSGP
Price/Earnings (TTM),93.42585
Price/Sales (TTM),15.37312
Price/Book (MRQ),4.84894
Price/Cash Flow (TTM),67.04788
5yr Low,28.31
5yr High,101.05
5yr Avg Return,0.21208333333333335
EPS Growth 5yr,0.23128990000000002
Revenue Growth 5yr,0.1834089
Dividend Growth 5yr,
Short Int Current Month,5607998.0
Short Int Prev Month,6219951.0
Short Int Pct of Float,0.0139355
Days to Cover,2.31298
Float,402.4244
Shares Outstanding,406.6901
Institutions Holding Shares,862.0
% Held by Institutions,0.982547
FCF Growth 5yr,0.046086022692679585
