,CSGP
% Below High,0.06309999999999999
% Held by Institutions,0.9825
52-Wk Range,['49.00 - 85.37']
Annual Dividend $,
Annual Dividend %,
Ask,80.39
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.9
Bid,79.57
Bid Size,100.0
Closing Price,79.98
Day Change $,-0.04
Day Change %,-0.0005
Day High,81.01
Day Low,79.35
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.86
Ex-dividend Date,No dividend
Historical Volatility,0.439
Last (size),9900.0
Last (time),12:59p ET 11/25/22
Market Cap,32.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",93.43
Prev Close,80.02
Shares Outstanding,406.7M
Short Interest,0.0139
Today's Open,80.25
Volume,1208348.0
Volume 10-day Avg,2169616.0
Volume Past Day,(Light)
