,AAP
% Above Low,0.030299999999999997
% Held by Institutions,0.9798
52-Wk Range,['145.59 - 244.55']
Annual Dividend $,6.0
Annual Dividend %,0.04
Ask,150.3
Ask Size,500.0
B/A Ratio,0.8
B/A Size,400x500
Beta,1.2
Bid,149.5
Bid Size,400.0
Closing Price,150.0
Day Change $,-0.55
Day Change %,-0.0037
Day High,150.78
Day Low,148.35
Dividend Pay Date,2023-01-03 00:00:00
"EPS (TTM, GAAP)",7.77
Ex-dividend,2022-12-15 00:00:00
Ex-dividend Date,12/15/22
Historical Volatility,0.387
Last (size),2.0
Last (time),5:00p ET 11/25/22
Market Cap,8.9B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",19.29
Prev Close,150.55
Shares Outstanding,59.3M
Short Interest,0.0525
Today's Open,150.76
Volume,579430.0
Volume 10-day Avg,1764984.0
Volume Past Day,(Light)
