,AAP
Price/Earnings (TTM),19.29447
Price/Sales (TTM),0.80232
Price/Book (MRQ),3.29682
Price/Cash Flow (TTM),11.73707
5yr Low,71.33
5yr High,244.55
5yr Avg Return,0.13713333333333333
EPS Growth 5yr,0.090367
Revenue Growth 5yr,0.0282562
Dividend Growth 5yr,0.6839703
Short Int Current Month,3082173.0
Short Int Prev Month,3096041.0
Short Int Pct of Float,0.052471699999999996
Days to Cover,3.473
Float,58.78215
Shares Outstanding,59.25372
Institutions Holding Shares,892.0
% Held by Institutions,0.9798359999999999
FCF Growth 5yr,-0.7542916923460382
