,AAP
Next Earnings Announcement,2023-02-13 00:00:00
Growth Analysts,25.0
Growth 1yr Low Est,0.052586938083121426
Growth 1yr High Est,0.09583333333333344
Growth 1yr Consensus Est,0.07421013570822743
Growth 2yr Low Est,-0.072820149008399
Growth 2yr High Est,0.1121752217997466
Growth 2yr Consensus Est,0.019677536395673795
Growth 5yr Low Est,0.08155918842948237
Growth 5yr High Est,0.17288416501175713
Growth 5yr Consensus Est,0.12722167672061974
Growth 5yr Actual/Est,0.1427808191284169
Growth 3yr Historic,0.11288199331677595
