,PARR
% Below High,0.0611
% Held by Institutions,0.9115000000000001
52-Wk Range,['11.66 - 25.38']
Annual Dividend $,
Annual Dividend %,
Ask,23.86
Ask Size,200.0
B/A Ratio,1.5
B/A Size,300x200
Beta,2.1
Bid,23.78
Bid Size,300.0
Day Change $,-0.26
Day Change %,-0.0108
Day High,23.87
Day Low,23.32
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",4.8
Ex-dividend Date,No dividend
Historical Volatility,0.563
Last (size),28.0
Last (time),10:05a ET 11/28/22
Market Cap,1.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",5.02
Prev Close,24.09
Price,23.83
Shares Outstanding,60.3M
Short Interest,0.062400000000000004
Today's Open,23.5
Volume Past Day,(Light)
