,PARR
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-4.81767955801105
Growth 1yr High Est,-6.621794871794871
Growth 1yr Consensus Est,-5.719737214902961
Growth 2yr Low Est,-2.80753731880292
Growth 2yr High Est,-3.363919100663684
Growth 2yr Consensus Est,-3.0857282097333023
Growth 5yr Low Est,-2.0761075002845675
Growth 5yr High Est,-2.459092134524853
Growth 5yr Consensus Est,-2.2675998174047107
Growth 5yr Actual/Est,-2.5313846246284424
Growth 3yr Historic,-1.059704453920872
