,SEER
Price/Earnings (TTM),
Price/Sales (TTM),28.99989
Price/Book (MRQ),0.88393
Price/Cash Flow (TTM),
5yr Low,5.83
5yr High,86.55
5yr Avg Return,-0.38586666666666664
Short Int Current Month,3158893.0
Short Int Prev Month,3209539.0
Short Int Pct of Float,0.057662000000000005
Days to Cover,10.70075
Float,50.89064
Shares Outstanding,62.64157
Institutions Holding Shares,149.0
% Held by Institutions,0.860598
FCF Growth 5yr,0.19878011415127095
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
