,SEER
% Above Low,0.048
% Held by Institutions,0.8606
52-Wk Range,['5.83 - 27.84']
Annual Dividend $,
Annual Dividend %,
Ask,6.14
Ask Size,200.0
B/A Ratio,2.5
B/A Size,500x200
Beta,
Bid,6.11
Bid Size,500.0
Day Change $,-0.35
Day Change %,-0.0542
Day High,6.48
Day Low,6.07
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.45
Ex-dividend Date,No dividend
Historical Volatility,1.033
Last (size),100.0
Last (time),1:54p ET 11/28/22
Market Cap,382.7M
"P/E Ratio (TTM, GAAP)",
Prev Close,6.46
Price,6.11
Shares Outstanding,62.6M
Short Interest,0.057699999999999994
Today's Open,6.35
Volume Past Day,(Light)
