,COLB
% Below High,0.0973
% Held by Institutions,1.0786
52-Wk Range,['26.97 - 37.66']
Annual Dividend $,1.2
Annual Dividend %,0.0353
Ask,38.46
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.7
Bid,30.22
Bid Size,100.0
Closing Price,33.99
Day Change $,0.23
Day Change %,0.0068000000000000005
Day High,34.1
Day Low,33.74
Dividend Pay Date,2022-10-28 00:00:00
"EPS (TTM, GAAP)",2.87
Ex-dividend,2022-10-14 00:00:00
Ex-dividend Date,10/14/22
Historical Volatility,0.32299999999999995
Last (size),37.0
Last (time),12:59p ET 11/25/22
Market Cap,2.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",11.85
Prev Close,33.76
Shares Outstanding,78.6M
Short Interest,0.1414
Today's Open,33.94
Volume,534881.0
Volume 10-day Avg,717486.0
Volume Past Day,(Light)
