,COLB
Price/Earnings (TTM),11.84804
Price/Sales (TTM),3.80948
Price/Book (MRQ),1.26364
Price/Cash Flow (TTM),9.83008
5yr Low,19.11
5yr High,50.68
5yr Avg Return,-0.0385
EPS Growth 5yr,0.0899523
Revenue Growth 5yr,0.0966502
Dividend Growth 5yr,0.08164020000000001
Short Int Current Month,11055285.0
Short Int Prev Month,11528407.0
Short Int Pct of Float,0.1413839
Days to Cover,13.23798
Float,78.23623
Shares Outstanding,78.64612
Institutions Holding Shares,321.0
% Held by Institutions,1.0785689999999999
FCF Growth 5yr,0.42502963413360845
