,BK
Next Earnings Announcement,2023-01-13 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,-0.1760391198044009
Growth 1yr High Est,0.006993006993007089
Growth 1yr Consensus Est,-0.0845230564056969
Growth 2yr Low Est,0.017321686388600765
Growth 2yr High Est,0.09377428127428122
Growth 2yr Consensus Est,0.055547983831440995
Growth 5yr Low Est,0.017974859544511362
Growth 5yr High Est,0.062357437666843596
Growth 5yr Consensus Est,0.04016614860567748
Growth 5yr Actual/Est,0.050735328162625964
Growth 3yr Historic,0.009976613193384692
