,BK
% Above Low,0.2609
% Held by Institutions,0.8321
52-Wk Range,['36.22 - 64.63']
Annual Dividend $,1.48
Annual Dividend %,0.032400000000000005
Ask,50.91
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,1.1
Bid,42.15
Bid Size,100.0
Closing Price,45.67
Day Change $,0.18
Day Change %,0.004
Day High,45.85
Day Low,45.4
Dividend Pay Date,2022-11-10 00:00:00
"EPS (TTM, GAAP)",3.28
Ex-dividend,2022-10-26 00:00:00
Ex-dividend Date,10/26/22
Historical Volatility,0.316
Last (size),3.0
Last (time),5:00p ET 11/25/22
Market Cap,36.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",13.91
Prev Close,45.49
Shares Outstanding,808.3M
Short Interest,0.0070999999999999995
Today's Open,45.52
Volume,1146691.0
Volume 10-day Avg,4347026.0
Volume Past Day,(Light)
