,SLGC
% Above Low,0.013300000000000001
% Held by Institutions,0.6627
52-Wk Range,['2.63 - 13.25']
Annual Dividend $,
Annual Dividend %,
Ask,2.67
Ask Size,1700.0
B/A Ratio,0.5294117647058824
B/A Size,900x1700
Beta,
Bid,2.66
Bid Size,900.0
Day Change $,-0.19
Day Change %,-0.0667
Day High,2.92
Day Low,2.65
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.45
Ex-dividend Date,No dividend
Historical Volatility,0.766
Last (size),100.0
Last (time),2:34p ET 11/28/22
Market Cap,498.8M
"P/E Ratio (TTM, GAAP)",
Prev Close,2.85
Price,2.66
Shares Outstanding,187.5M
Short Interest,0.06309999999999999
Today's Open,2.85
Volume Past Day,(Light)
