,SLGC
Price/Earnings (TTM),
Price/Sales (TTM),5.24839
Price/Book (MRQ),0.88666
Price/Cash Flow (TTM),
5yr Low,2.63
5yr High,14.72
5yr Avg Return,-0.47204999999999997
Short Int Current Month,9447162.0
Short Int Prev Month,9489680.0
Short Int Pct of Float,0.0631476
Days to Cover,6.5382
Float,162.0901
Shares Outstanding,187.526
Institutions Holding Shares,158.0
% Held by Institutions,0.662702
FCF Growth 5yr,1.7625481187537766
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
