,AXTA
Price/Earnings (TTM),29.83446
Price/Sales (TTM),1.23562
Price/Book (MRQ),4.64312
Price/Cash Flow (TTM),11.52499
5yr Low,12.92
5yr High,38.2
5yr Avg Return,-0.025616666666666666
EPS Growth 5yr,0.4827894
Revenue Growth 5yr,0.0153313
Dividend Growth 5yr,
Short Int Current Month,5463698.0
Short Int Prev Month,5535407.0
Short Int Pct of Float,0.0249424
Days to Cover,2.61835
Float,219.0704
Shares Outstanding,220.6089
Institutions Holding Shares,383.0
% Held by Institutions,1.018862
FCF Growth 5yr,-0.4755864308061893
