,AXTA
Next Earnings Announcement,2023-01-30 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,-0.1393939393939394
Growth 1yr High Est,-0.16666666666666674
Growth 1yr Consensus Est,-0.15303030303030307
Growth 2yr Low Est,-0.041527955612462586
Growth 2yr High Est,0.09999999999999987
Growth 2yr Consensus Est,0.02923602219376864
Growth 5yr Low Est,-0.03504969209194558
Growth 5yr High Est,0.04064171122994645
Growth 5yr Consensus Est,0.002796009569000432
Growth 5yr Actual/Est,0.020277062690631342
Growth 3yr Historic,-0.0013680033416875736
