,AXTA
% Above Low,0.2972
% Held by Institutions,1.0189
52-Wk Range,['20.66 - 34.12']
Annual Dividend $,
Annual Dividend %,
Ask,28.75
Ask Size,700.0
B/A Ratio,0.2857142857142857
B/A Size,200x700
Beta,1.4
Bid,10.7
Bid Size,200.0
Closing Price,26.8
Day Change $,0.05
Day Change %,0.0019
Day High,26.82
Day Low,26.55
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.9
Ex-dividend Date,No dividend
Historical Volatility,0.375
Last (size),34300.0
Last (time),5:00p ET 11/25/22
Market Cap,5.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",29.83
Prev Close,26.75
Shares Outstanding,220.6M
Short Interest,0.024900000000000002
Today's Open,26.62
Volume,427399.0
Volume 10-day Avg,1867945.0
Volume Past Day,(Light)
