,PKI
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,-0.2687673772011121
Growth 1yr High Est,-0.30000000000000004
Growth 1yr Consensus Est,-0.2843836886005561
Growth 2yr Low Est,-0.3016840688286929
Growth 2yr High Est,-0.2106826801517067
Growth 2yr Consensus Est,-0.2561833744901998
Growth 5yr Low Est,0.2635668325807275
Growth 5yr High Est,0.33536770637891444
Growth 5yr Consensus Est,0.299467269479821
Growth 5yr Actual/Est,0.212923482251211
Growth 3yr Historic,0.348266235674405
