,PKI
Price/Earnings (TTM),28.63949
Price/Sales (TTM),4.39561
Price/Book (MRQ),2.44633
Price/Cash Flow (TTM),16.09528
5yr Low,62.91
5yr High,203.16
5yr Avg Return,0.14145000000000002
EPS Growth 5yr,0.3282701
Revenue Growth 5yr,0.1908849
Dividend Growth 5yr,0.0
Short Int Current Month,4803884.0
Short Int Prev Month,5011586.0
Short Int Pct of Float,0.0381119
Days to Cover,3.79699
Float,126.0542
Shares Outstanding,126.3159
Institutions Holding Shares,822.0
% Held by Institutions,0.872128
FCF Growth 5yr,-0.01615092334728459
