,PKI
% Above Low,0.19530000000000003
% Held by Institutions,0.8721
52-Wk Range,['113.46 - 203.16']
Annual Dividend $,0.28
Annual Dividend %,0.002
Ask,135.74
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.1
Bid,135.46
Bid Size,200.0
Day Change $,-1.32
Day Change %,-0.0096
Day High,139.04
Day Low,135.44
Dividend Pay Date,2023-02-10 00:00:00
"EPS (TTM, GAAP)",4.78
Ex-dividend,2023-01-19 00:00:00
Ex-dividend Date,01/19/23
Historical Volatility,0.378
Last (size),100.0
Last (time),10:55a ET 11/28/22
Market Cap,17.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",28.64
Prev Close,136.93
Price,135.62
Shares Outstanding,126.3M
Short Interest,0.0381
Today's Open,137.55
Volume Past Day,(Light)
