,NE
Price/Earnings (TTM),20.60719
Price/Sales (TTM),4.77185
Price/Book (MRQ),3.07973
Price/Cash Flow (TTM),15.37581
5yr Low,20.34
5yr High,42.08
5yr Avg Return,0.24360000000000004
EPS Growth 5yr,
Revenue Growth 5yr,-0.1810907
Dividend Growth 5yr,
Short Int Current Month,5030322.0
Short Int Prev Month,4623520.0
Short Int Pct of Float,0.038780999999999996
Days to Cover,2.8677
Float,129.6944
Shares Outstanding,130.8407
Institutions Holding Shares,182.0
% Held by Institutions,0.638
FCF Growth 5yr,-0.6563295911920921
