,NE
% Below High,0.1338
% Held by Institutions,0.638
52-Wk Range,['22.01 - 42.08']
Annual Dividend $,
Annual Dividend %,
Ask,36.34
Ask Size,400.0
B/A Ratio,1.0
B/A Size,400x400
Beta,
Bid,35.92
Bid Size,400.0
Change Since Close,-0.11| |(-0.30%)
Closing Price,36.45
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.77
Ex-dividend Date,No dividend
Historical Volatility,0.516
Last (size),5.0
Last (time),5:00p ET 11/25/22
Last Trade,36.34
Market Cap,4.8B
"P/E Ratio (TTM, GAAP)",20.61
Prev Close,36.45
Shares Outstanding,130.8M
Short Interest,0.0388
Today's Open,
Volume,3944.0
Volume 10-day Avg,1333909.0
Volume Past Day,(Light)
