,HLX
Price/Earnings (TTM),
Price/Sales (TTM),1.26058
Price/Book (MRQ),0.6413
Price/Cash Flow (TTM),44.252
5yr Low,0.99
5yr High,10.89
5yr Avg Return,0.13291666666666666
EPS Growth 5yr,
Revenue Growth 5yr,0.0671273
Dividend Growth 5yr,
Short Int Current Month,6915405.0
Short Int Prev Month,7074884.0
Short Int Pct of Float,0.048534600000000004
Days to Cover,3.73267
Float,142.4902
Shares Outstanding,151.8211
Institutions Holding Shares,254.0
% Held by Institutions,0.859409
FCF Growth 5yr,-0.5283377029389177
