,HLX
% Below High,0.1281
% Held by Institutions,0.8593999999999999
52-Wk Range,['2.47 - 7.18']
Annual Dividend $,
Annual Dividend %,
Ask,6.32
Ask Size,300.0
B/A Ratio,5.333333333333333
B/A Size,1600x300
Beta,3.0
Bid,5.82
Bid Size,1600.0
Closing Price,6.26
Day Change $,-0.03
Day Change %,-0.0048
Day High,6.43
Day Low,6.22
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.77
Ex-dividend Date,No dividend
Historical Volatility,0.669
Last (size),12.0
Last (time),5:00p ET 11/25/22
Market Cap,950.4M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,6.29
Shares Outstanding,151.8M
Short Interest,0.048499999999999995
Today's Open,6.25
Volume,793782.0
Volume 10-day Avg,1371734.0
Volume Past Day,(Light)
