,JELD
Price/Earnings (TTM),16.92905
Price/Sales (TTM),0.16338
Price/Book (MRQ),1.32886
Price/Cash Flow (TTM),4.47286
5yr Low,6.06
5yr High,42.27
5yr Avg Return,-0.08035000000000002
EPS Growth 5yr,
Revenue Growth 5yr,0.0540814
Dividend Growth 5yr,
Short Int Current Month,2702163.0
Short Int Prev Month,2989926.0
Short Int Pct of Float,0.0325225
Days to Cover,2.37241
Float,83.13629
Shares Outstanding,84.33776
Institutions Holding Shares,232.0
% Held by Institutions,0.9493779999999999
FCF Growth 5yr,-1.3453246525852032
