,MASI
Next Earnings Announcement,2023-02-14 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,0.3899371069182389
Growth 1yr High Est,0.40438871473354254
Growth 1yr Consensus Est,0.3971629108258907
Growth 2yr Low Est,0.15876945843649498
Growth 2yr High Est,0.23232828593819976
Growth 2yr Consensus Est,0.19554887218734737
Growth 5yr Low Est,0.07938472921824749
Growth 5yr High Est,0.11616414296909988
Growth 5yr Consensus Est,0.09777443609367369
Growth 5yr Actual/Est,0.08428489855562202
Growth 3yr Historic,0.05658643892339543
