,MASI
Price/Earnings (TTM),47.92644
Price/Sales (TTM),4.35977
Price/Book (MRQ),6.07855
Price/Cash Flow (TTM),26.91855
5yr Low,80.69
5yr High,305.21
5yr Avg Return,0.16700000000000004
EPS Growth 5yr,-0.0740254
Revenue Growth 5yr,0.1169134
Dividend Growth 5yr,
Short Int Current Month,2633138.0
Short Int Prev Month,2914649.0
Short Int Pct of Float,0.0549221
Days to Cover,3.42554
Float,48.14905
Shares Outstanding,52.56466
Institutions Holding Shares,608.0
% Held by Institutions,0.8520730000000001
FCF Growth 5yr,-inf
