,CABO
Price/Earnings (TTM),11.95367
Price/Sales (TTM),2.42256
Price/Book (MRQ),2.19456
Price/Cash Flow (TTM),5.66231
5yr Low,597.4
5yr High,2326.8
5yr Avg Return,0.13471666666666665
EPS Growth 5yr,0.2174471
Revenue Growth 5yr,0.1440541
Dividend Growth 5yr,0.11842689999999999
Short Int Current Month,275776.0
Short Int Prev Month,305677.0
Short Int Pct of Float,0.052584799999999994
Days to Cover,1.69709
Float,5.2465
Shares Outstanding,5.80941
Institutions Holding Shares,534.0
% Held by Institutions,0.905608
FCF Growth 5yr,0.23735120789915312
