,CABO
% Above Low,0.1512
% Held by Institutions,0.9056000000000001
52-Wk Range,"['620.57 - 1,869.42']"
Annual Dividend $,11.4
Annual Dividend %,0.016
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.8
Bid,293.28
Bid Size,
Closing Price,714.38
Day Change $,4.64
Day Change %,0.006500000000000001
Day High,720.91
Day Low,698.88
Dividend Pay Date,2022-12-16 00:00:00
"EPS (TTM, GAAP)",59.76
Ex-dividend,2022-11-28 00:00:00
Ex-dividend Date,11/28/22
Historical Volatility,0.41100000000000003
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,4.2B
"P/E Ratio (TTM, GAAP)",11.95
Prev Close,709.74
Shares Outstanding,5.8M
Short Interest,0.0526
Today's Open,716.74
Volume,50144.0
Volume 10-day Avg,130498.0
Volume Past Day,(Light)
