,QTWO
Price/Earnings (TTM),
Price/Sales (TTM),2.71707
Price/Book (MRQ),3.47899
Price/Cash Flow (TTM),
5yr Low,20.93
5yr High,148.56
5yr Avg Return,0.058316666666666676
EPS Growth 5yr,
Revenue Growth 5yr,0.2712281
Dividend Growth 5yr,
Short Int Current Month,2660842.0
Short Int Prev Month,2875418.0
Short Int Pct of Float,0.0481798
Days to Cover,3.3089
Float,55.31095
Shares Outstanding,57.51699
Institutions Holding Shares,291.0
% Held by Institutions,1.013185
FCF Growth 5yr,-0.6690480655452227
