,BFST
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.008298755186721962
Growth 1yr High Est,-0.004032258064516014
Growth 1yr Consensus Est,0.002133248561102974
Growth 2yr Low Est,0.039128801461673746
Growth 2yr High Est,0.06276119890296461
Growth 2yr Consensus Est,0.05094500018231918
Growth 5yr Low Est,0.10615657950178659
Growth 5yr High Est,0.11471393278481562
Growth 5yr Consensus Est,0.1104352561433011
Growth 5yr Actual/Est,0.11086387332978759
Growth 3yr Historic,0.09325880758807586
