,BFST
% Above Low,0.1783
% Held by Institutions,0.3148
52-Wk Range,['20.19 - 29.50']
Annual Dividend $,0.48
Annual Dividend %,0.0202
Ask,23.79
Ask Size,600.0
B/A Ratio,1.3333333333333333
B/A Size,800x600
Beta,0.9
Bid,22.03
Bid Size,800.0
Closing Price,23.79
Day Change $,0.43
Day Change %,0.0184
Day High,23.91
Day Low,23.48
Dividend Pay Date,2022-11-30 00:00:00
"EPS (TTM, GAAP)",2.22
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.267
Last (size),10.0
Last (time),12:59p ET 11/25/22
Market Cap,597.5M
"P/E Ratio (TTM, GAAP)",10.72
Prev Close,23.36
Shares Outstanding,25.1M
Short Interest,0.0052
Today's Open,23.49
Volume,21175.0
Volume 10-day Avg,86377.0
Volume Past Day,(Light)
