,GOLF
Next Earnings Announcement,2023-02-28 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.10041841004184082
Growth 1yr High Est,0.07936507936507953
Growth 1yr Consensus Est,0.08989174470346017
Growth 2yr Low Est,0.02169209475476075
Growth 2yr High Est,0.05438842203548089
Growth 2yr Consensus Est,0.03804025839512082
Growth 5yr Low Est,0.14385886789020091
Growth 5yr High Est,0.16849855884382736
Growth 5yr Consensus Est,0.15617871336701414
Growth 5yr Actual/Est,0.19368930309112484
Growth 3yr Historic,0.16484374999999993
