,GOLF
% Above Low,0.177
% Held by Institutions,0.48479999999999995
52-Wk Range,['37.46 - 56.48']
Annual Dividend $,0.72
Annual Dividend %,0.0163
Ask,58.05
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.8
Bid,
Bid Size,
Closing Price,44.09
Day Change $,-0.51
Day Change %,-0.011399999999999999
Day High,44.8
Day Low,44.09
Dividend Pay Date,2022-12-16 00:00:00
"EPS (TTM, GAAP)",2.36
Ex-dividend,2022-12-01 00:00:00
Ex-dividend Date,12/01/22
Historical Volatility,0.34299999999999997
Last (size),100.0
Last (time),5:00p ET 11/25/22
Market Cap,3.1B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",18.67
Prev Close,44.6
Shares Outstanding,70.2M
Short Interest,0.1446
Today's Open,44.25
Volume,110922.0
Volume 10-day Avg,284816.0
Volume Past Day,(Light)
