,GOLF
Price/Earnings (TTM),18.66575
Price/Sales (TTM),1.37977
Price/Book (MRQ),3.04228
Price/Cash Flow (TTM),14.07699
5yr Low,17.55
5yr High,57.87
5yr Avg Return,0.16088333333333335
EPS Growth 5yr,0.30974029999999997
Revenue Growth 5yr,0.064384
Dividend Growth 5yr,
Short Int Current Month,4589255.0
Short Int Prev Month,4739530.0
Short Int Pct of Float,0.1446036
Days to Cover,13.88537
Float,31.96723
Shares Outstanding,70.20903
Institutions Holding Shares,261.0
% Held by Institutions,0.48483
FCF Growth 5yr,-0.7230344222844621
