,ENSG
Price/Earnings (TTM),25.09974
Price/Sales (TTM),1.79513
Price/Book (MRQ),4.42383
Price/Cash Flow (TTM),19.11689
5yr Low,21.67
5yr High,98.66
5yr Avg Return,0.29069999999999996
EPS Growth 5yr,0.28954789999999997
Revenue Growth 5yr,0.09686909999999999
Dividend Growth 5yr,0.0558929
Short Int Current Month,1675910.0
Short Int Prev Month,1904010.0
Short Int Pct of Float,0.0313818
Days to Cover,8.32254
Float,53.44174
Shares Outstanding,55.48426
Institutions Holding Shares,421.0
% Held by Institutions,0.915695
FCF Growth 5yr,1.3949035800948695
