,ENSG
Next Earnings Announcement,2023-02-08 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.14404432132963985
Growth 1yr High Est,0.13698630136986312
Growth 1yr Consensus Est,0.14051531134975148
Growth 2yr Low Est,0.12892288705707167
Growth 2yr High Est,0.13837266875722076
Growth 2yr Consensus Est,0.13364777790714621
Growth 5yr Low Est,0.21109506294256364
Growth 5yr High Est,0.2161997376420136
Growth 5yr Consensus Est,0.21364740029228863
Growth 5yr Actual/Est,0.2058068069482415
Growth 3yr Historic,0.14006518142400726
