,ENSG
% Below High,0.010700000000000001
% Held by Institutions,0.9157
52-Wk Range,['70.29 - 95.14']
Annual Dividend $,0.22
Annual Dividend %,0.0023
Ask,149.88
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.0
Bid,85.0
Bid Size,200.0
Closing Price,94.12
Day Change $,1.19
Day Change %,0.0128
Day High,94.31
Day Low,93.28
Dividend Pay Date,2022-10-31 00:00:00
"EPS (TTM, GAAP)",3.75
Ex-dividend,2022-09-29 00:00:00
Ex-dividend Date,09/29/22
Historical Volatility,0.316
Last (size),26.0
Last (time),12:59p ET 11/25/22
Market Cap,5.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",25.1
Prev Close,92.93
Shares Outstanding,55.5M
Short Interest,0.031400000000000004
Today's Open,93.4
Volume,68868.0
Volume 10-day Avg,180386.0
Volume Past Day,(Light)
