,SE
Price/Earnings (TTM),
Price/Sales (TTM),2.0238
Price/Book (MRQ),6.18644
Price/Cash Flow (TTM),
5yr Low,10.06
5yr High,372.7
5yr Avg Return,0.9716000000000001
EPS Growth 5yr,
Revenue Growth 5yr,0.9582926
Dividend Growth 5yr,
Short Int Current Month,26002566.0
Short Int Prev Month,26158995.0
Short Int Pct of Float,0.0740875
Days to Cover,2.61637
Float,253.7103
Shares Outstanding,455.29
Institutions Holding Shares,879.0
% Held by Institutions,0.769613
FCF Growth 5yr,
