,MRO
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,26.0
Growth 1yr Low Est,5.222222222222223
Growth 1yr High Est,5.411764705882353
Growth 1yr Consensus Est,5.316993464052288
Growth 2yr Low Est,2.42249503968254
Growth 2yr High Est,2.7811117107393417
Growth 2yr Consensus Est,2.601803375210941
Growth 5yr Low Est,1.21124751984127
Growth 5yr High Est,1.3905558553696709
Growth 5yr Consensus Est,1.3009016876054704
Growth 5yr Actual/Est,-0.7409827944477418
Growth 3yr Historic,-1.225028735632184
