,MRO
% Below High,0.091
% Held by Institutions,0.7759999999999999
52-Wk Range,['14.29 - 33.42']
Annual Dividend $,0.36
Annual Dividend %,0.0118
Ask,29.6
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,2.5
Bid,28.84
Bid Size,100.0
Change Since Close,-1.17| |(-3.85%)
Closing Price,30.38
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-12 00:00:00
"EPS (TTM, GAAP)",5.2
Ex-dividend,2022-11-15 00:00:00
Ex-dividend Date,11/15/22
Historical Volatility,0.528
Last (size),5.0
Last (time),5:00p ET 11/25/22
Last Trade,29.21
Market Cap,19.3B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",5.84
Prev Close,30.38
Shares Outstanding,635.1M
Short Interest,0.0394
Today's Open,
Volume,4796.0
Volume 10-day Avg,9751807.0
Volume Past Day,(Light)
