,FIX
Price/Earnings (TTM),19.95749
Price/Sales (TTM),1.16171
Price/Book (MRQ),4.73987
Price/Cash Flow (TTM),14.61718
5yr Low,27.54
5yr High,128.68
5yr Avg Return,0.2273
EPS Growth 5yr,0.18037140000000002
Revenue Growth 5yr,0.1346502
Dividend Growth 5yr,0.1178453
Short Int Current Month,632037.0
Short Int Prev Month,762636.0
Short Int Pct of Float,0.0180646
Days to Cover,2.69692
Float,34.97432
Shares Outstanding,35.76082
Institutions Holding Shares,382.0
% Held by Institutions,0.9606870000000001
FCF Growth 5yr,0.16341776971945357
