,FIX
% Below High,0.0207
% Held by Institutions,0.9606999999999999
52-Wk Range,['74.14 - 128.68']
Annual Dividend $,0.6
Annual Dividend %,0.0048
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.2
Bid,85.46
Bid Size,
Closing Price,126.02
Day Change $,-0.04
Day Change %,-0.0003
Day High,127.27
Day Low,125.69
Dividend Pay Date,2022-11-28 00:00:00
"EPS (TTM, GAAP)",6.31
Ex-dividend,2022-11-16 00:00:00
Ex-dividend Date,11/16/22
Historical Volatility,0.35600000000000004
Last (size),17.0
Last (time),5:00p ET 11/25/22
Market Cap,4.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",19.96
Prev Close,126.06
Shares Outstanding,35.8M
Short Interest,0.0181
Today's Open,126.71
Volume,118301.0
Volume 10-day Avg,232814.0
Volume Past Day,(Light)
