,HCSG
% Above Low,0.155
% Held by Institutions,0.9997
52-Wk Range,['11.97 - 20.54']
Annual Dividend $,0.86
Annual Dividend %,0.0622
Ask,13.84
Ask Size,200.0
B/A Ratio,5.0
B/A Size,1000x200
Beta,0.3
Bid,12.58
Bid Size,1000.0
Closing Price,13.82
Day Change $,0.01
Day Change %,0.0007000000000000001
Day High,13.94
Day Low,13.73
Dividend Pay Date,2022-12-22 00:00:00
"EPS (TTM, GAAP)",0.28
Ex-dividend,2022-11-17 00:00:00
Ex-dividend Date,11/17/22
Historical Volatility,0.43
Last (size),10.0
Last (time),1:00p ET 11/25/22
Market Cap,1.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",49.93
Prev Close,13.81
Shares Outstanding,74.1M
Short Interest,0.0594
Today's Open,13.86
Volume,99094.0
Volume 10-day Avg,403961.0
Volume Past Day,(Light)
