,DVA
Price/Earnings (TTM),10.82099
Price/Sales (TTM),0.57233
Price/Book (MRQ),12.50392
Price/Cash Flow (TTM),4.11693
5yr Low,43.4
5yr High,136.48
5yr Avg Return,0.09983333333333334
EPS Growth 5yr,0.11925720000000001
Revenue Growth 5yr,0.0164707
Dividend Growth 5yr,
Short Int Current Month,3090234.0
Short Int Prev Month,3637016.0
Short Int Pct of Float,0.035369700000000004
Days to Cover,2.61134
Float,87.34091
Shares Outstanding,90.1
Institutions Holding Shares,675.0
% Held by Institutions,0.895354
FCF Growth 5yr,0.5665683530238865
