,DVA
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,-0.3141176470588235
Growth 1yr High Est,-0.14983351831298553
Growth 1yr Consensus Est,-0.2319755826859045
Growth 2yr Low Est,-0.1330451014024821
Growth 2yr High Est,-0.10429012730270687
Growth 2yr Consensus Est,-0.11866761435259449
Growth 5yr Low Est,0.08330648297670887
Growth 5yr High Est,0.09747158730195102
Growth 5yr Consensus Est,0.09038903513932994
Growth 5yr Actual/Est,0.08420576244371428
Growth 3yr Historic,0.15050505050505053
