,DVA
% Above Low,0.13240000000000002
% Held by Institutions,0.8954000000000001
52-Wk Range,['65.28 - 124.81']
Annual Dividend $,
Annual Dividend %,
Ask,74.01
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,68.15
Bid Size,100.0
Closing Price,73.92
Day Change $,1.63
Day Change %,0.0225
Day High,73.99
Day Low,72.55
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",6.83
Ex-dividend Date,No dividend
Historical Volatility,0.478
Last (size),70.0
Last (time),5:00p ET 11/25/22
Market Cap,6.7B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",10.82
Prev Close,72.29
Shares Outstanding,90.1M
Short Interest,0.0354
Today's Open,72.72
Volume,360008.0
Volume 10-day Avg,699566.0
Volume Past Day,(Light)
