,HONE
Price/Earnings (TTM),14.52758
Price/Sales (TTM),3.43505
Price/Book (MRQ),1.18224
Price/Cash Flow (TTM),13.51373
5yr Low,6.45
5yr High,20.08
5yr Avg Return,-0.024483333333333347
EPS Growth 5yr,0.6166774
Revenue Growth 5yr,0.13993460000000002
Dividend Growth 5yr,
Short Int Current Month,813200.0
Short Int Prev Month,863091.0
Short Int Pct of Float,0.0188404
Days to Cover,5.63162
Float,43.14919
Shares Outstanding,49.1885
Institutions Holding Shares,171.0
% Held by Institutions,0.544378
FCF Growth 5yr,0.33404689092762485
