,HONE
% Below High,0.0562
% Held by Institutions,0.5444
52-Wk Range,['12.82 - 15.57']
Annual Dividend $,0.28
Annual Dividend %,0.0191
Ask,15.1
Ask Size,500.0
B/A Ratio,0.4
B/A Size,200x500
Beta,0.7
Bid,5.88
Bid Size,200.0
Closing Price,14.69
Day Change $,0.09
Day Change %,0.0062
Day High,14.75
Day Low,14.62
Dividend Pay Date,2022-10-26 00:00:00
"EPS (TTM, GAAP)",1.01
Ex-dividend,2022-10-11 00:00:00
Ex-dividend Date,10/11/22
Historical Volatility,0.249
Last (size),138.0
Last (time),1:00p ET 11/25/22
Market Cap,722.6M
"P/E Ratio (TTM, GAAP)",14.53
Prev Close,14.6
Shares Outstanding,49.2M
Short Interest,0.018799999999999997
Today's Open,14.69
Volume,22993.0
Volume 10-day Avg,109183.0
Volume Past Day,(Light)
