,HONE
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,-0.05504587155963303
Growth 1yr High Est,-0.04504504504504503
Growth 1yr Consensus Est,-0.05004545830233903
Growth 2yr Low Est,-0.051794780440010735
Growth 2yr High Est,-0.003654597994220632
Growth 2yr Consensus Est,-0.027724689217115683
Growth 5yr Low Est,-0.051794780440010735
Growth 5yr High Est,-0.003654597994220632
Growth 5yr Consensus Est,-0.027724689217115683
Growth 5yr Actual/Est,0.46385230489450646
Growth 3yr Historic,0.4881859756097561
