,INSE
Price/Earnings (TTM),19.24936
Price/Sales (TTM),1.11008
Price/Book (MRQ),
Price/Cash Flow (TTM),5.28591
5yr Low,1.87
5yr High,15.82
5yr Avg Return,0.08723333333333334
Short Int Current Month,322796.0
Short Int Prev Month,441676.0
Short Int Pct of Float,0.0135605
Days to Cover,2.19894
Float,23.84698
Shares Outstanding,25.8672
Institutions Holding Shares,122.0
% Held by Institutions,0.829723
FCF Growth 5yr,-1.1086732711732712
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
