,INSE
Next Earnings Announcement,2023-03-10 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,0.0
Growth 2yr High Est,0.3191489361702129
Growth 2yr Consensus Est,0.15957446808510645
Growth 5yr Low Est,0.0
Growth 5yr High Est,0.3191489361702129
Growth 5yr Consensus Est,0.15957446808510645
Growth 5yr Actual/Est,-0.3363636363636363
Growth 3yr Historic,2.7755575615628914e-17
