,INSE
% Below High,0.2525
% Held by Institutions,0.8297
52-Wk Range,['7.49 - 15.72']
Annual Dividend $,
Annual Dividend %,
Ask,15.75
Ask Size,1000.0
B/A Ratio,0.5
B/A Size,500x1000
Beta,1.6
Bid,8.64
Bid Size,500.0
Closing Price,11.75
Day Change $,-0.17
Day Change %,-0.0143
Day High,11.94
Day Low,11.69
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.61
Ex-dividend Date,No dividend
Historical Volatility,0.568
Last (size),2.0
Last (time),1:00p ET 11/25/22
Market Cap,303.9M
"P/E Ratio (TTM, GAAP)",19.25
Prev Close,11.92
Shares Outstanding,25.9M
Short Interest,0.013600000000000001
Today's Open,11.89
Volume,13385.0
Volume 10-day Avg,125864.0
Volume Past Day,(Light)
