,DGII
Price/Earnings (TTM),79.39987
Price/Sales (TTM),3.88237
Price/Book (MRQ),3.00382
Price/Cash Flow (TTM),26.46358
5yr Low,6.18
5yr High,43.68
5yr Avg Return,0.30611666666666665
EPS Growth 5yr,0.09187300000000001
Revenue Growth 5yr,0.1644423
Dividend Growth 5yr,
Short Int Current Month,1729035.0
Short Int Prev Month,1718065.0
Short Int Pct of Float,0.0498599
Days to Cover,4.14485
Float,34.70381
Shares Outstanding,35.55633
Institutions Holding Shares,255.0
% Held by Institutions,0.9125190000000001
FCF Growth 5yr,-0.4169934434550693
