,DGII
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.11538461538461542
Growth 1yr High Est,0.23636363636363655
Growth 1yr Consensus Est,0.17587412587412599
Growth 2yr Low Est,0.11229000884173301
Growth 2yr High Est,0.2627896613190731
Growth 2yr Consensus Est,0.18753983508040306
Growth 5yr Low Est,0.11229000884173301
Growth 5yr High Est,0.2627896613190731
Growth 5yr Consensus Est,0.18753983508040306
Growth 5yr Actual/Est,1.1992609351623202
Growth 3yr Historic,1.115495391705069
