,EQBK
% Below High,0.0342
% Held by Institutions,0.6304
52-Wk Range,['28.06 - 38.04']
Annual Dividend $,0.4
Annual Dividend %,0.0109
Ask,41.93
Ask Size,300.0
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,0.8
Bid,15.09
Bid Size,200.0
Closing Price,36.74
Day Change $,0.14
Day Change %,0.0038
Day High,36.74
Day Low,36.24
Dividend Pay Date,2022-10-14 00:00:00
"EPS (TTM, GAAP)",3.41
Ex-dividend,2022-09-29 00:00:00
Ex-dividend Date,09/29/22
Historical Volatility,0.27899999999999997
Last (size),7.0
Last (time),12:58p ET 11/25/22
Market Cap,585.1M
"P/E Ratio (TTM, GAAP)",10.79
Prev Close,36.6
Shares Outstanding,15.9M
Short Interest,0.0167
Today's Open,36.53
Volume,27380.0
Volume 10-day Avg,51406.0
Volume Past Day,(Light)
