,EQBK
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.1172839506172838
Growth 1yr High Est,0.03361344537815136
Growth 1yr Consensus Est,0.07544869799771758
Growth 2yr Low Est,0.021349157629083904
Growth 2yr High Est,0.058812142743276286
Growth 2yr Consensus Est,0.040080650186180095
Growth 5yr Low Est,0.2799053480453112
Growth 5yr High Est,0.3407268260886192
Growth 5yr Consensus Est,0.31031608706696523
Growth 5yr Actual/Est,-1.4159295228712596
Growth 3yr Historic,-1.429909713773452
