,EQBK
Price/Earnings (TTM),10.78922
Price/Sales (TTM),3.00535
Price/Book (MRQ),1.48683
Price/Cash Flow (TTM),8.95003
5yr Low,12.49
5yr High,44.3
5yr Avg Return,0.042866666666666664
EPS Growth 5yr,0.2621324
Revenue Growth 5yr,0.20555489999999998
Dividend Growth 5yr,
Short Int Current Month,232782.0
Short Int Prev Month,200456.0
Short Int Pct of Float,0.0166591
Days to Cover,4.36723
Float,13.99751
Shares Outstanding,15.93807
Institutions Holding Shares,135.0
% Held by Institutions,0.6303690000000001
FCF Growth 5yr,1.3559348778082445
