,ADSK
% Above Low,0.2295
% Held by Institutions,0.9257
52-Wk Range,['163.20 - 285.38']
Annual Dividend $,
Annual Dividend %,
Ask,200.59
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.5
Bid,200.02
Bid Size,100.0
Closing Price,200.66
Day Change $,3.59
Day Change %,0.0182
Day High,200.96
Day Low,196.25
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.84
Ex-dividend Date,No dividend
Historical Volatility,0.473
Last (size),32.0
Last (time),12:59p ET 11/25/22
Market Cap,43.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",70.77
Prev Close,197.07
Shares Outstanding,215.9M
Short Interest,0.0108
Today's Open,196.79
Volume,1318187.0
Volume 10-day Avg,2249200.0
Volume Past Day,(Light)
