,ADSK
Price/Earnings (TTM),70.7718
Price/Sales (TTM),8.84217
Price/Book (MRQ),47.80825
Price/Cash Flow (TTM),56.52392
5yr Low,101.55
5yr High,344.39
5yr Avg Return,0.13045
EPS Growth 5yr,
Revenue Growth 5yr,0.1664864
Dividend Growth 5yr,
Short Int Current Month,2327823.0
Short Int Prev Month,2752550.0
Short Int Pct of Float,0.010821099999999998
Days to Cover,1.30103
Float,215.0852
Shares Outstanding,215.8591
Institutions Holding Shares,1499.0
% Held by Institutions,0.92571
FCF Growth 5yr,0.1879837399682093
