,USER
% Above Low,1.2387000000000001
% Held by Institutions,0.8669
52-Wk Range,['3.31 - 11.99']
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,
Bid,7.38
Bid Size,
Closing Price,7.41
Day Change $,0.01
Day Change %,0.0014000000000000002
Day High,7.42
Day Low,7.34
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.46
Ex-dividend Date,No dividend
Historical Volatility,1.137
Last (size),5.0
Last (time),7:00p ET 11/28/22
Market Cap,1.1B
"P/E Ratio (TTM, GAAP)",
Prev Close,7.4
Shares Outstanding,144.7M
Short Interest,0.0192
Today's Open,7.34
Volume,1309662.0
Volume 10-day Avg,1862635.0
Volume Past Day,(Light)
